Course_Name,Platform,Domain,Difficulty_level,Language,Program_Type,Certificate_available,Skills
Devops Basics Foreveryone,Ibm,Computer Science,Introductory,English,"Professional Certificateindevops, Cloud, And Agile Foundationsprofessional Certificateindevops And Software Engineering",Yes,"DevOps, Continuous Delivery, Decision Making, Business Case, Continuous Integration, Infrastructure"
Excel For Everyone: Datamanagement,University Of British Columbia,Data Analysis & Statistics,Intermediate,English,Professional Certificate Inexcel For Everyone,Yes,"Data Management, Management, Data Wrangling, Forecasting"
Gis Foundations,University Of Alaska Fairbanks,Engineering,Introductory,English,Professional Certificateingeographic Information Systems (Gis) Essentials,Yes,"Web Mapping, Spatial Data Infrastructures, Data Analysis, Geospatial Analysis, GIS Applications, Remote Sensing, Urban Planning, Complex Problem Solving, Cartography, GIS Certificate, Data Science, Geographic Information Systems, ArcGIS (GIS Software), Social Sciences, Health Information Technology, Problem Solving"
Introduction To Personalfinancial Planning,Indiana University,Economics & Finance,Introductory,English,Professional Certificateinpersonal Finance,Yes,"Income Statement, Financial Literacy, Personal Finance, Financial Planning, Budgeting, Balance Sheet, Financial Services, Planning, Money Management"
Ai Prompt Engineering Forbeginners,Davidson College,Computer Science,Introductory,English,None,No,"Reference Cards, Curiosity, Artificial Intelligence"
Your Body Inside And Out:Using Exercise Physiologyto Slow Aging,Stanford University,Biology & Life Sciences,Introductory,English,None,No,"Cardiovascular Disease, Information Sciences, Aging Processes, Dementia, Exercise Physiology, Optometry, Physiology, Diabetes Mellitus, Lecturing, Human Musculoskeletal Systems"
Successful Negotiation:Essential Strategies Andskills,The University Of Michigan,Business & Management,Introductory,English,None,No,"Negotiation Strategies, Planning, Planning Tools, Negotiation"
Shakespeare'S Life Andwork,Harvard University,Humanities,Introductory,English,"Xseries Inshakespeare'S Life, Work, And Characters",Yes,Literary Studies
"Fundamentals Ofneuroscience, Part 2:Neurons And Networks",Harvard University,Biology & Life Sciences,Introductory,English,Xseriesinfundamentals Of Neuroscience,Yes,"Documentary Films, Complex Networks, Electronic Circuits, Animations"
Empathy And Emotionalintelligence At Work,"University Of California, Berkeley",Business & Management,Introductory,English,Professional Certificateinthe Science Of Happiness At Work,Yes,"Leadership, Empathy, Emotional Intelligence, Social Intelligence, Problem Solving, Compassion, Teamwork, Psychology, Innovation"
Ancient Masterpieces Ofworld Literature,Harvard University,Literature,Introductory,English,None,No,"Collections, Writing"
Upper-Intermediateenglish: Business Andindustry,Universitat Polit„®Cnica De Val„®Ncia,Language,Intermediate,English,Professional Certificate Inupper-Intermediate English,Yes,"Reading Comprehension, Radio Broadcasting, Industrial Design, Listening Skills, Vocabulary, English Language, Grammar"
"Women Making History:Ten Objects, Many Stories",Harvard University,History,Introductory,English,None,No,"Library, Innovation, Archives"
Drug Discovery &Medicinal Chemistry,Davidson College,Medicine,Intermediate,English,None,No,"Medicinal Chemistry, Drug Development, Chemistry, Drug Discovery, Pharmaceuticals, Biology"
Learn Like A Pro:Science-Based Tools Tobecome Better At Anything,Barbara Oakley & Olav Schewe,Education & Teacher Training,Introductory,English,None,No,"Optometry, Research, Teaching, Speed Reading"
¬øC„≥Mo Hacer Usoresponsable De Lainteligencia Artificial?,Inter-American Development Bank,Ethics,Intermediate,Espa„±Ol,None,No,"Implement Projects, Logos, Artificial Intelligence, Public Policies, Decision Making, Content Creation, Social Networks"
"Macroeconomics Ofclimate Change: Science,Economics, And Policies",The International Monetary Fund,Economics & Finance,Introductory,English,None,No,"Research, Economics, Capacity Development, Climate Variability And Change, Macroeconomics"
Deep Learning With Pythonand Pytorch,Ibm,Data Analysis & Statistics,Intermediate,English,Professional Certificateindeep Learning,Yes,"Principal Component Analysis, Autoencoders, Artificial Neural Networks, Machine Learning, Transfer Learning, PyTorch (Machine Learning Library), Deep Learning, Feed Forward, Convolutional Neural Networks, Python (Programming Language), Dimensionality Reduction"
Public Speaking,Rochester Institute Of Technology,Communication,Introductory,English,Professional Certificate Incommunication Skills,Yes,"Communications, Public Speaking"
Climate Change: Thescience And Global Impact,Sdg Academy,Energy & Earth Sciences,Intermediate,English,None,No,"Atmospheric Sciences, Climate Variability And Change, Infrastructure, Greenhouse Gas, Climatology, Systems Thinking, Climate Modeling"
Procurement And Logisticsmanagement,International Supply Chain Educat‚Ä¶,Business & Management,Introductory,English,Professional Certificateincertified Supply Chain Analyst (Csca),Yes,"Contract Management, Procurement, Supply Chain Analysis, Purchasing, Management, Order Management Systems, Supply Chain, Sourcing, Warehousing, Planning, Order Management, Logistics Management"
Introduction To Quantumcomputing For Everyone,University Of Chicago,Computer Science,Introductory,English,Professional Certificate Inquantum Computing For Everyone,Yes,"Linear Algebra, Quantum Computing, Quantum Physics, Elementary Algebra"
Introduction To Blockchainand Web3,Web3 Foundation,Computer Science,Introductory,English,None,No,"Cryptography, Nodes (Networking), Bitcoin, Ethereum, Blockchain"
R Programming Basics Fordata Science,Ibm,Data Analysis & Statistics,Introductory,English,Professional Certificate Indata Analytics And Visualization With Excel And Rprofessional Certificate Inapplied Data Science With R,Yes,"R (Programming Language), Watson Studio, Data Analysis, Data Structures, RStudio, Data Science, Jupyter"
Measuring Sustainabledevelopment,Sdg Academy,Data Analysis & Statistics,Intermediate,English,Professional Certificateinmaster‚ÄôS Pathway In Foundations Of Sustainable Development,Yes,"Sustainable Development, Dashboard, Data-Driven Decision-Making"
Design Thinking Andcreativity For Innovation,The University Of Queensland,Business & Management,Intermediate,English,Micromasters‚ÆProgram Incorporate Innovation,Yes,"Design Thinking, Problem Solving, Innovation, Creative Problem-Solving, Creativity"
Climate Change: Carboncapture And Storage,The University Of Edinburgh,Engineering,Introductory,English,None,No,"Carbon Capture And Storage, Economics, Engineering Geology, Climate Change Mitigation, Greenhouse Gas"
Hinduism Through Itsscriptures,Harvard University,Humanities,Introductory,English,Xseries Inworld Religions Through Their Scriptures,Yes,None
Brand Management,Indian Institute Of Management B‚Ä¶,Business & Management,Introductory,English,Professional Certificate Inbrand And Marketing Research Strategy,Yes,"Brand Management, Brand Communication, Brand Identity, Brand Positioning"
Free Cash Flow Analysis,Columbia University,Business & Management,Introductory,English,Professional Certificate Incorporate Finance,Yes,"Valuation Using Multiples, Corporate Finance, Cash Flow Analysis"
Supply Chain Planning Andstrategy,International Supply Chain Educat‚Ä¶,Business & Management,Introductory,English,Professional Certificate Incertified Supply Chain Analyst (Csca),Yes,"Strategic Decision-Making, Supply Chain Strategy, Demand Management, Supply Chain Planning, Supply Chain Analysis, Sales Inventory And Operations Planning, Management, Strategic Management, Supply Chain, Planning, Supply Chain Management, Forecasting"
Comunicaci„≥N Yredacci„≥N Digital,Universidades An„°Huac,Communication,Introductory,Espa„±Ol,None,No,"Digital Communications, Multimedia"
Entrepreneurshipadventures - ŸÖÿ∫¯ßŸÖÿ±ÿßÿ™ ÿ±Ÿö¯ßÿØÿ©ÿßŸÑÿ£ÿπŸÖÿßŸÑ,King Abdullah University Of Scien‚Ä¶,Business & Management,Introductory,ÿßŸû˘ÑŸíÿπŸû¯±Ÿû¯®ŸêŸö˘û˘ëÿ©Ÿè,None,No,Dynamic Content
Agile And Scrumfundamentals,Ibm,Computer Science,Introductory,English,"Professional Certificate Indevops, Cloud, And Agile Foundationsprofessional Certificate Indevops And Software Engineering",Yes,"Lean Manufacturing, Kanban Principles, Agile Methodology, Iterative And Incremental Development, Scrum (Software Development), Software Development, Planning, Continuous Improvement Process, User Story, Refining, Test-Driven Development (TDD), Github"
Introduction To Devopsand Site Reliabilityengineering,The Linux Foundation,Computer Science,Introductory,English,Professional Certificate Inintroduction To Devops: Practices And Tools,Yes,"Automation, Operations, Site Reliability Engineering, Linux, Agile Methodology, Software Development, DevOps"
Aws Cloud Technicalessentials,Amazon Web Services,Computer Science,Introductory,English,Professional Certificate Incloud Solutions Architectureprofessional Certificate Inaws Learning Series: Developer Jumpstartxseries Indevops On Aws,Yes,"Amazon Web Services, Operations, Business Requirements, Database Storage Structures, Cloud Development, Scalability, Fault Tolerance, Cloud Computing"
Essential Career Skills Forinvestment Banking Andfinance,New York Institute Of Finance,Business & Management,Introductory,English,Professional Certificate Inintroduction To Investment Banking,Yes,"Financial Literacy, Finance, Financial Services, Investment Banking, Basic Math, Business Economics"
Precalculus,Arizona State University,Math,Intermediate,English,None,No,"Assessment And Learning In Knowledge Spaces (ALEKS), Calculus, Basic Math, Precalculus"
Project Management Fordevelopment,Inter-American Development Bank,Business & Management,Intermediate,English,Professional Certificate Inresults-Based Project Management,Yes,"Social Development, Project Management Institute (PMI) Methodology, Management"
Biomedical Equipment:Repairing And Maintainingbiomedical Devices,Delft University Of Technology,Engineering,Introductory,English,"Professional Certificate Inbiomedical Equipment: Repair, Maintenance And Healthcare Technology Management",Yes,"Medical Devices, Blueprinting, Process Flow Diagrams, Biology, Interdisciplinary Collaboration, Troubleshooting (Problem Solving)"
Introducci„≥N A Laingenier„≠A Del Software,Universidad Aut„≥Noma De Madrid,Computer Science,Introductory,Espa„±Ol,Professional Certificateindesarrollo Y Gesti„≥N De Proyectos Inform„°Ticos,Yes,"Software Engineering, Management, Agile Methodology, Planning, Scrum (Software Development), Software Development, Software Project Management"
Nutrition And Health:Human Microbiome,Wageningen University & Research,Health & Safety,Introductory,English,None,No,"Microbiology, Diabetes Mellitus, Cell Biology, Viruses, Irritable Bowel Syndrome, Balancing (Ledger/Billing), Written Composition, Allergology"
"Product Design,Prototyping, And Testing","The University Of Maryland, Collegepark‚Ä¶",Business & Management,Introductory,English,Professional Certificate Inproduct Management,Yes,"Function Model, Industrial Design, Product Design, Concept Testing, Product Management, New Product Development, User Experience, Mass Customization, Persona (User Experience), Modular Design, Prototyping, Scrum (Software Development), Manufacturing Processes, Wireframing, Concurrent Engineering, Design Thinking, Engineering Design Process, Planning"
Mathematics 1 Part 1:Differential Calculus,The London School Of Economics‚Ä¶,Math,Intermediate,English,Microbachelors Program Inmathematics And Statistics Fundamentals,Yes,"Differential Calculus, Statistics, Management, Sketching, Economics, Basic Math"
Soft Skills: Collaborateeffectively,Ibm,Communication,Introductory,English,Professional Certificate Inpeople And Power Skills,Yes,None
Deploying Tinyml,Harvard University,Data Analysis & Statistics,Intermediate,English,Professional Certificateintiny Machine Learning (Tinyml)Professional Certificateinapplied Tiny Machine Learning (Tinyml) For Scale,Yes,"TensorFlow, Machine Learning, Audio Signal Processing, Computer Vision, Electrical Engineering, Computer Science, Speech Recognition, Deep Learning, Embedded Systems, ARM Architecture"
European Paintings: Fromleonardo To Rembrandt Togoya,Universidad Carlos Iii De Madrid,Humanities,Introductory,English,None,No,Painting
Macroeconometricforecasting,The International Monetary Fund,Economics & Finance,Intermediate,English,None,No,"Statistical Modeling, Policy Analysis, Demonstration Skills, Economics, Forecasting, Macroeconomics"
Introducci„≥N A Laprogramaci„≥N En Java:Empezando A Programar,Universidad Carlos Iii De Madrid,Computer Science,Introductory,Espa„±Ol,Professional Certificate Inintroducci„≥N A La Programaci„≥N En Java,Yes,"Java (Programming Language), Computational Thinking, Data Structures, Object-Oriented Programming (OOP), Smartphone Operation, Algorithms, Sorting Algorithm, Software Engineering, Application Programming Interface (API)"
Hardware And Operatingsystems,Ibm,Computer Science,Introductory,English,Professional Certificateininformation Technology (It) Support Pc,Yes,"Peripheral Devices, Screen Capture, Technical Support, Hard Disk Drives, Troubleshooting (Problem Solving), Customer Service, Expansion Cards, Operating Systems, Computer Hardware, Information Technology, Motherboard, Help Desk Support"
Introduction To Machinelearning And Ai,Raspberry Pi Foundation,Education & Teacher Training,Introductory,English,None,No,None
Visualizing Data Withpython,Ibm,Data Analysis & Statistics,Intermediate,English,Professional Certificateinpython Data Scienceprofessional Certificateinibm Data Scienceprofessional Certificateindata Analyst,Yes,"Data Science, Graphic Communication, Data Visualization, Watson Studio, Python (Programming Language)"
Global Public Health,Sdg Academy,Health & Safety,Intermediate,English,None,No,"Sustainable Development, Conflict Resolution, Public Policies, Economics, Poverty Reduction, Empowerment, Communicable Diseases, Influencing Skills, Economic Development, Nursing, Infrastructure, International Aid Transparency Initiative"
Flashdiet: Aprende Acomer Sano,Universitat Polit„®Cnica De Val„®Ncia,Food & Nutrition,Introductory,Espa„±Ol,Professional Certificate Infitness Corporativo: Nutrici„≥N Y Bienestar Laboralprofessional Certificate Inh„°Bitos Alimentarios Sostenibles Y Nutrici„≥N,Yes,"Scientific Studies, Human Nutrition, Communicable Diseases, Diabetes Mellitus"
Introducci„≥N A Lasfinanzas: Principios Devaloraci„≥N,Universidad Del Rosario,Economics & Finance,Intermediate,Espa„±Ol,None,No,"Finance, Mathematical Finance, Decision Making, Microsoft Excel, Cash Flows, Investments, Financial Market"
American Government:Constitutionalfoundations,Harvard University,Social Sciences,Introductory,English,Xseries Inu.S. Government,Yes,"Limited Government, Influencing Skills"
Databases: Modeling Andtheory,Stanford University,Computer Science,Introductory,English,None,No,"Database Design, Computer Science, Relational Databases, Algebra, Data Modeling, Data Abstraction, Concurrency Controls, Query Languages, Database Systems, Unified Modeling Language, SQL (Programming Language), Design Theory"
United States Healthpolicy,Harvard University,Social Sciences,Introductory,English,None,No,Health Policies
Introduction To Sql,Davidson College,Data Analysis & Statistics,Introductory,English,Professional Certificateinfrom Database To Dashboard Using Sql And Power Bi,Yes,"Google Sheets, Relational Databases, Application Development, Market Research, RStudio, Syntax, User Interface, Shiny (R Package), Data Analysis, R (Programming Language), Financial Analysis, Cascading Style Sheets (CSS), Research, SQL (Programming Language), Web Applications, Data Storage Technologies"
Religious Literacy:Traditions And Scriptures,Harvard University,Humanities,Introductory,English,Xseriesinworld Religions Through Their Scriptures,Yes,None
Python Data Structures,The University Of Michigan,Computer Science,Introductory,English,None,No,"Collections, Data Structures, Python (Programming Language), Procedural Programming, Data Analysis"
Gesti„≥N De Personas:Recursos Humanos,Universidad Nacional De C„≥Rdoba,Business & Management,Introductory,Espa„±Ol,Micromasters‚ÆProgramingesti„≥N De Servicios: Dise„±O De Experiencias Exitosas,Yes,"Decision Making, Customer Satisfaction, Management, Customer Service, People Management"
"Financial Programmingand Policies, Part 1:Macroeconomic Account‚Ä¶",The International Monetary Fund,Economics & Finance,Intermediate,English,None,No,"Economics, Capacity Development, Economic Policy"
College Algebra Andproblem Solving,Arizona State University,Math,Introductory,English,None,No,"Assessment And Learning In Knowledge Spaces (ALEKS), Calculus, Problem Solving, Logarithmic Functions, Linear Equations, Algebra, Basic Math"
Electric Cars: Technology,Delft University Of Technology,Engineering,Intermediate,English,Professional Certificate Inelectric Cars,Yes,"Battery Technology, Infrastructure, Electronics, Electric Vehicles, Operations, Innovation, Battery Management, Thermodynamic Systems, Brakes"
Network And Securityfoundations,Western Governors University,Computer Science,Introductory,English,Microbachelors Program Inintroduction To Information Technology,Yes,"Local Area Networks, Communications Protocols, Security Policies, Risk Mitigation, Computer Networks, Metropolitan Area Networks, Virtual Private Networks (VPN), Wide Area Networks, Network Security, Network Topology, Metro Ethernet, Vulnerability"
A Complete Guide To Gamedesign,Hp,Computer Science,Introductory,English,Professional Certificate Inesports Management And Game Development,Yes,"Mechanics, eSports Management, eSports, Innovation, Game Design, Video Game Development"
Django Applicationdevelopment With Sql Anddatabases,Ibm,Computer Science,Intermediate,English,Microbachelors Programinfull Stack Application Developmentprofessional Certificateinfull Stack Developer,Yes,"Web Application Frameworks, Application Development, Django (Web Framework), Templates, Full Stack Development, Object-Oriented Programming (OOP), Object-Relational Mapping, Bootstrap (Front-End Framework), Front End (Software Engineering), SQL (Programming Language)"
Introduction To Marketing,The University Of Edinburgh,Business & Management,Introductory,English,Professional Certificate Indigital Marketing Fundamentals,Yes,"Marketing, Branding, Creative Thinking, Communications, Value Propositions, Digital Marketing"
Probability And Statistics I: A Gentle Introduction Toprobability,The Georgia Institute Of Technology,Data Analysis & Statistics,Intermediate,English,Professional Certificateinprobability/Random Variables,Yes,"Calculus, Bayesian Statistics, Probability, Probability And Statistics, Set Theory"
Introduction Toastrophysics,√âCole Polytechnique F„©D„©Rale De L‚Ä¶,Physics,Introductory,English,None,No,"Astrophysics, Forecasting"
Comunicaci„≥N Efectivapara El L„≠Der Actual,Tecnol„≥Gico De Monterrey,Communication,Introductory,Espa„±Ol,Micromasters‚ÆPrograminhabilidades Profesionales: Negociaci„≥N Y Liderazgoprofessional Certificateinhabilidades Esenciales De Liderazgo,Yes,"Assertiveness, Communications, Organizational Communications, Leadership, Empathy"
International Humanrights Law,Universit„© Catholique De Louvain,Law,Advanced,English,Micromasters‚ÆProgram Ininternational Law,Yes,"Corporate Laws, Family Law, Municipal Law, Grammar, International Relations, Cooperation, International Laws, Influencing Skills, Labor Law, Economics, Social Movements, Criminal Law"
"Hollywood: History,Industry, Art",University Of Pennsylvania,Communication,Introductory,English,None,No,Cinematography
"Ingl„©S Empresarial: Ventas,Gesti„≥N Y Liderazgo",Universidades An„°Huac,Business & Management,Introductory,Espa„±Ol,Professional Certificate Iningl„©S B„°Sico Para Negocios,Yes,"Presentations, Teaching, Leadership, Sales Management, Communications, Business English"
Cybersecurity Complianceand Systemadministration,Ibm,Computer Science,Introductory,English,Professional Certificate Inibm Cybersecurity Fundamentalsprofessional Certificate Incybersecurity Analyst,Yes,"Information Privacy, Endpoint Security, Vulnerability, Patch Management, System Administration, Encryption, Cryptography, Cyber Security, Cybersecurity Compliance, Server Administration"
Java Programming: Basicskills,Codio,Computer Science,Introductory,English,Professional Certificate Injava Programming: A Hands-On Introduction,Yes,"Computer Science, Java (Programming Language)"
A Global History Ofarchitecture,Massachusetts Institute Of Techn‚Ä¶,History,Introductory,English,None,No,Architectural History
Malariax: Defeatingmalaria From The Genes Tothe Globe,Harvard University,Biology & Life Sciences,Intermediate,English,None,No,"Data Science, Target Audience, Leadership, Ecology, Analytical Skills, Biology, Problem Solving, Decision Making, Epidemiology"
Introducci„≥N A Laciberseguridad,Universidad Del Rosario,Computer Science,Intermediate,Espa„±Ol,None,No,"Software Development, Ethical Hacking, Computer Forensics, Teaching, Cyber Security, Cryptography"
Applications Of Tinyml,Harvard University,Data Analysis & Statistics,Intermediate,English,Professional Certificate Intiny Machine Learning (Tinyml)Professional Certificate Inapplied Tiny Machine Learning (Tinyml) For Scale,Yes,"Anomaly Detection, Machine Learning, Android (Operating System), Smartphone Operation, Artificial Neural Networks, Speech Recognition, Deep Learning"
Ai For Leaders,Babson College,Business & Management,Introductory,English,Professional Certificateinai And Data Analytics For Business Leaders,Yes,"Business Modeling, Operations, Leadership, Self-Discipline, Artificial Intelligence, Employee Engagement"
Basic Spanish 3: Gettingthere,Universitat Polit„®Cnica De Val„®Ncia,Language,Introductory,English,Professional Certificateinbasic Spanish,Yes,"Presentations, English Language, Grammar, Vocabulary, Pronunciation, Communications, Spanish Language"
Introducci„≥N A La Cienciade Datos Y El Big Data,Tecnol„≥Gico De Monterrey,Data Analysis & Statistics,Intermediate,Espa„±Ol,Professional Certificate Inciencia De Datos,Yes,"Data Analysis, Big Data, Data-Driven Decision-Making, Oil And Gas, Data Science, Risk Mitigation, Innovation, Business Intelligence"
Basic Network Anddatabase Security,Ibm,Computer Science,Introductory,English,Professional Certificateinibm Cybersecurity Fundamentalsprofessional Certificateincybersecurity Analyst,Yes,"MongoDB, Network Security, Information Privacy, Vulnerability, Security Systems, Open Systems Interconnection, SQL Injection, Network Routing, TCP/IP, Cyber Security, Computer Networks, Database Security, Local Area Networks, Research"
Philosophy And Criticalthinking,The University Of Queensland,Humanities,Introductory,English,None,No,Critical Thinking
Introducci„≥N Al Desarrollode Aplicaciones Web,Universidad Aut„≥Noma De Madrid,Computer Science,Introductory,Espa„±Ol,None,No,"Flask (Web Framework), JSON, Web Application Development, Web Applications, Computer Science, Ajax (Programming Language), HyperText Markup Language (HTML), Python (Programming Language), Cascading Style Sheets (CSS), JavaScript (Programming Language), Server-Side"
Cardiovascular &Respiratory Systems,The University Of Queensland,Medicine,Introductory,English,Professional Certificate Insystems Physiology,Yes,"Biological Systems, Respiratory Systems, Acid/Base Chemistry, Nervous Systems, Lymphatic Systems, Physiology, Circulatory Systems"
Astrophysics: Cosmology,Australian National University,Physics,Intermediate,English,Xseriesinastrophysics,Yes,"Astrophysics, Astronomy, Physics"
Teamwork & Collaboration,Rochester Institute Of Technology,Communication,Introductory,English,Professional Certificateinleadership Essentials,Yes,"Leadership, Business Communication, Problem Solving, Decision Making, Consensus Decision-Making, Collaboration, Teamwork, Team Motivation"
Introducci„≥N A La Cienciade Datos Con Python,Universidades An„°Huac,Computer Science,Introductory,Espa„±Ol,Professional Certificate Inpython Aplicado A La Ciencia De Datos,Yes,"Management, Python (Programming Language), Data Science, Machine Learning, Data Mining"
Python For Data Scienceproject,Ibm,Data Analysis & Statistics,Intermediate,English,Professional Certificate Inpython Data Scienceprofessional Certificate Inibm Data Scienceprofessional Certificate Indata Analyst,Yes,"Python (Programming Language), Data Science, Data Analysis"
Academic English: How Towrite A Thesis,The University Of Queensland,Education & Teacher Training,Introductory,English,None,No,"Research, Life Sciences, Academic Language, Research Sources, Writing, Research Methodologies, Social Sciences, Academic Writing, Planning"
Java Programmingfundamentals,Universidad Galileo,Engineering,Intermediate,English,None,No,"Java (Programming Language), Algorithms, Conditional Statements, Object Oriented Programming And Systems, Object-Oriented Programming (OOP)"
Sustainable Building Withtimber,Delft University Of Technology,Architecture,Introductory,English,None,No,"Built Environment, Greenhouse Gas, HP OpenView, Green Building, Construction, Forestry, Forest Management"
"U.S. Political Institutions:Congress, Presidency,Courts, And Bureaucracy",Harvard University,Social Sciences,Introductory,English,Xseries Inu.S. Government,Yes,Foreign Policies
Agile Leadershipprinciples And Practices,"The University Of Maryland, Collegepark‚Ä¶",Engineering,Advanced,English,Professional Certificate Inagile Project Management,Yes,"PMI Agile Certified Practitioner, Communications, Learning Agility, Auditing, Leadership Styles, Certified Scrum Master, Leadership, Empowerment, Emotional Intelligence, Project Management Institute (PMI) Methodology, Team Motivation, Scrum (Software Development), Innovation, Agile Leadership, Agile Methodology, Command Controls, Creativity, Decision Making, Project Management Professional Certification"
Strengthening Communityhealth Worker Programs,Harvard University,Health & Safety,Introductory,English,None,No,"Resource Mobilization, Community Health, Digital Content, Advocacy, Primary Health Care, Mobile Phones, Mentorship"
Habilidades Denegociaci„≥N Ycomunicaci„≥N Efectiva,Tecnol„≥Gico De Monterrey,Business & Management,Introductory,Espa„±Ol,Micromasters‚ÆPrograminhabilidades Profesionales: Negociaci„≥N Y Liderazgo,Yes,"Communications, Conflict Resolution, Negotiation, Active Learning, Emotional Intelligence"
Linear Algebra -Foundations To Frontiers,The University Of Texas At Austin,Computer Science,Intermediate,English,None,No,"Eigenvalues And Eigenvectors, Systems Of Equations, Linear Algebra, Operations, Abstractions, Algebra"
"Prescription Drugregulation, Cost, Andaccess: Current Controv‚Ä¶",Harvard University,Medicine,Introductory,English,None,No,"Drug Administration, Drug Development, Medical Education, Marketing, Safety Monitoring, Medical Prescription, Pharmaceuticals"
"English For Journalists,Part 1","University Of California, Berkeley",Communication,Intermediate,English,None,No,"Idioms, Vocabulary, Communications, Journalism, Writing, English Language, Grammar"
Ai For Teachers,University Of British Columbia,Computer Science,Introductory,English,None,No,Artificial Intelligence
Information Technologyfoundations,Western Governors University,Computer Science,Introductory,English,Microbachelors Programinintroduction To Information Technology,Yes,"Information Technology, Scripting, Operating Systems, Data Management, Integration, Peripheral Devices, Information Management, Addressing Ethical Concerns"
Circular Economy: Anintroduction,Delft University Of Technology,Business & Management,Introductory,English,Professional Certificate Insustainable Packagingprofessional Certificate Insustainable Engineering Designprofessional Certificate Insustainable Resource Managementprofessional Certificate Insustainable Design Of Electronics,Yes,None
Object Orientedimplementation Using C++,Ibm,Computer Science,Intermediate,English,Professional Certificate Inc++ Programming Essentials,Yes,"Semantics, Object-Oriented Programming (OOP), Market Research, Business Logic, Syntax, Problem Solving, C++ (Programming Language), Language Translation"
Introduction To Aerospacestructures And Materials,Delft University Of Technology,Engineering,Introductory,English,None,No,"Material Design, Spacecraft, Experimentation"
Customer Relationshipmanagement,Indian Institute Of Management B‚Ä¶,Business & Management,Intermediate,English,Professional Certificate Incustomer Relationship Management For Marketers,Yes,"Customer Relationship Management, Management, Marketing, Relationship Management"
E-Commerce Logistics Andlast Mile,Logyca,Business & Management,Introductory,English,None,No,"Operations, Customer Service, Customer Satisfaction, Virtual Sales, Sales"
Six Sigma Part 1: Defineand Measure,Technische Universit„§T M„ºNchen,Business & Management,Introductory,English,Professional Certificate Inlean Six Sigma Yellow Belt: Quantitative Tools For Quality And Productivityprofessional Certificate Inlean Six Sigma Green Belt Certification: Sustainability Projectprofessional Certificate Inlean Six Sigma Green Belt Certification: Business Project,Yes,"Process Improvement, Six Sigma Methodology, Quality Improvement, Lean Manufacturing, Define Measure Analyze Improve And Control (DMAIC), Six Sigma Green Belt Certification, Lean Six Sigma Green Belt, Six Sigma Yellow Belt, Lean Six Sigma, Quality Management"
So You Want To Be Asurgeon?,University Of Hong Kong,Medicine,Introductory,English,None,No,"Treatment Planning, Surgery, Investigation, Surgical Services, Research, Surgical Procedures"
Financial Accountingmade Fun: Eliminatingyour Fears,Babson College,Business & Management,Introductory,English,Professional Certificateinfinancial Decision-Making For Leadersprofessional Certificateinfundamentals Of Financial Analysisxseriesinbusiness Principles And Entrepreneurial Thought,Yes,"Forecasting, Finance, Entrepreneurship, Income Statement, Financial Statements, Accounting, Balance Sheet, Financial Accounting"
Italian Language Andculture: Advanced(2023-2024),Wellesley College,Language,Advanced,Italiano,Professional Certificateinitalian Language And Culture: Beginner To Advanced,Yes,"Reading Comprehension, Mobile Devices, Pronunciation, Grammar, Language Education, Vocabulary, Writing, Italian Language, Podcasting"
The Entrepreneurialmindset,Babson College,Business & Management,Introductory,English,Professional Certificateinentrepreneurial Mindset And Leadershipxseriesinbusiness Principles And Entrepreneurial Thought,Yes,"Entrepreneurship, Automated Teller Machine, Innovation"
Introduction Tosocial-Emotional Learning(Sel),"University Of California, Riverside",Education & Teacher Training,Introductory,English,None,No,None
"Justice Today: Money,Markets, And Morals",Harvard University,Humanities,Introductory,English,None,No,"Sales, Debating, Money Market"
A Travel By Spanishamerica: Spanish Forbeginners,Universidad Del Rosario,Language,Introductory,Espa„±Ol,None,No,Spanish Language
Computer Graphics,"The University Of California, San‚Ä¶",Computer Science,Intermediate,English,Professional Certificateinvirtual Reality (Vr) App Development,Yes,"DirectX (Software), Visual Impairment Education, 3D Computer Graphics, Autodesk Maya, C++ (Programming Language), Development Environment, OpenGL, Autodesk 3DS Max (3D Graphics Software), Ray Tracing, Virtual Reality, OpenGL Shading Language, Computer-Aided Design"
Global Health Casestudies From A Biosocialperspective,Harvard University,Social Sciences,Introductory,English,None,No,"Social Theories, Sociology"
C Programming: Languagefoundations,Dartmouth Collegeimt,Computer Science,Introductory,English,Professional Certificate Inc Programming With Linux,Yes,"Algorithms, Programming Concepts, Decision Making, Linux, C (Programming Language)"
Collaborative Data Sciencefor Healthcare,Massachusetts Institute Of Techn‚Ä¶,Data Analysis & Statistics,Advanced,English,None,No,"Medical Research, Research, Algorithms, Digital Data, Diabetes Mellitus, Data Science, Electronic Medical Record, Clinical Trials, Blood Pressure, Population Health, Blood Sugar"
Python For Ai &Development Project,Ibm,Data Analysis & Statistics,Intermediate,English,Microbachelors Program Infull Stack Application Developmentprofessional Certificate Inapplied Aiprofessional Certificate Indevops And Software Engineeringprofessional Certificate Infull Stack Developer,Yes,"Unit Testing, Python (Programming Language), Artificial Intelligence, Packaging And Labeling"
Introducci„≥N A Sql Ybases De Datosrelacionales,Universitat Polit„®Cnica De Val„®Ncia,Computer Science,Introductory,Espa„±Ol,None,No,"Business Software, Relational Database Management Systems, Relational Databases, International Standards, Emulators, Data Extraction, Business Intelligence, Consulting, SQL (Programming Language)"
