Course_Name,Platform,Domain,Difficulty_level,Language,Program_Type,Certificate_available,Skills
Introducci„≥N A Lacomputaci„≥N En La Nube(Cloud Computing),Ibmuniversitat Polit„®Cnica De Val„®Ncia,Computer Science,Introductory,Espa„±Ol,None,No,None
Let‚ÄôS Get Personal:Working With Personalitytype,"The University Of Maryland, Collegepark‚Ä¶",Business & Management,Introductory,English,Professional Certificateinre-Imagining Leadership,Yes,"Leadership, Myers-Briggs Type Indicator, Influencing Skills, Decision Making"
Creating An Organizationalchange Managementframework - Transformin‚Ä¶,"The University Of Maryland, Collegepark‚Ä¶",Engineering,Advanced,English,Professional Certificate Inprogram Management: Enabling Value Driven Change,Yes,"Business Strategies, Trenching, Project Management, Benefits Realization Management, Enterprise Risk Management (ERM), Strategy Execution, Management, Organizational Change, Mergers And Acquisitions, Governance, Change Management, Milestones (Project Management)"
C Programming: Advanceddata Types,Dartmouth Collegeimt,Computer Science,Intermediate,English,Professional Certificate Inc Programming With Linux,Yes,"Computer Engineering, Programming Concepts, Linux, Linked Lists, C (Programming Language)"
Machine Dynamics Withmatlab,Rwth Aachen University,Engineering,Intermediate,English,None,No,"Suspension (Vehicle), MATLAB, Mechanics, State Space"
Leadership Andmanagement For Pmpractitioners In It,University Of Washington,Business & Management,Introductory,English,Professional Certificate Init Project Management,Yes,"International Finance, Leadership, Communications, Management, Influencing Skills, Virtual Teams, Organizational Change"
Herramientas Ymetodolog„≠As De Gesti„≥Nde Proyectos,Universidad Nacional De C„≥Rdoba,Business & Management,Intermediate,Espa„±Ol,Professional Certificate Ingesti„≥N De Proyectos: Matriz De Marco L„≥Gico Y Herramientas,Yes,"Planning, Scheduling, Teamwork, Management, Communications"
Geoscience: The Earth Andits Resources,Delft University Of Technology,Energy & Earth Sciences,Introductory,English,None,No,"Earth Science, Forecasting, Geology"
Climate Change Scienceand Negotiations,Sdg Academy,Environmental Studies,Intermediate,English,None,No,"Sustainable Development, Climate Variability And Change, Ecosystem Science, Debating, Corporate Sustainability, International Relations, Sustainable Business, Greenhouse Gas, Environmental Science, Negotiation"
Python De La A A La Z,Universidades An„°Huac,Engineering,Introductory,Espa„±Ol,Professional Certificateinpython De La A A La Z: Desde Programaci„≥N Hasta Gesti„≥N De Datos,Yes,"Python (Programming Language), Critical Thinking, Operations, Go (Programming Language), Usability"
Introducci„≥N A Lasecuaciones Diferenciales,Universidad Galileo,Math,Intermediate,Espa„±Ol,None,No,"Physics, Mathematical Modeling, Differential Equations, Problem Solving, Basic Math"
Copyright Law In Themusic Business,Berklee College Of Music,Business & Management,Introductory,English,Xseries Inmusic Business: Industry Essentials,Yes,"Lawsuits, Entertainment Law, Writing, Mechanics, Music Industry, Copyright Laws, Intellectual Property"
Sustainable Soilmanagement: Soil For Life,Wageningen University & Research,Environmental Studies,Introductory,English,Professional Certificate Incrop Production And Soil Management,Yes,"Agrochemicals, Environmental Studies, Erosions, Soil Management, Soil Science"
Soft Skills: Solve Problemsw/ Creative & Criticalthinking,Ibm,Business & Management,Introductory,English,Professional Certificate Inpeople And Power Skills,Yes,None
